preproc,n,R2,theta_drift,alpha_drift,beta_drift,gamma_drift,theta_drift_p,alpha_drift_p,beta_drift_p,gamma_drift_p
zscored (paper),50,0.13,0.042,0.173,0.55,-0.39,0.8238933240999242,0.29667414212939924,0.05289581861631021,0.13877913626252658
amplitude-preserving,50,0.1,-0.028,0.064,0.511,-0.429,0.8708879694177025,0.7088108379236817,0.07544510698034745,0.13610672218507824
