quantity,estimate,ci_lo,ci_hi,detail
mean cross-session EER,0.2266,0.16576828125,0.2992965625,
SD of cross-session EER,0.13804605662604058,0.06523191022436076,0.19867686523483488,
coefficient of variation,0.6092058986144774,0.32132691535881674,0.7922775488022041,
session 2 abs. reduction,0.019512500000000002,0.0037621874999999964,0.04664375000000001,n=16
session 2 rel. reduction (%),7.935465336373005,2.879930248462545,13.714280324093345,
session 3 abs. reduction,0.025743750000000006,0.009437187500000001,0.0528003125,n=16
session 3 rel. reduction (%),9.126501684253903,4.907353080266179,13.91527215335323,
