transition,emotion_pair,D_unnorm,D_sigmanorm,EER
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Fear->Sad,0.0075574039552259,14.142666089712534,0.08500862919132146
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Happy->Disgust,0.0043036036034684,8.637143471336826,0.08216316199376944
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Happy->Fear,0.0044582792814858,8.62143221110106,0.06720909090909086
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Happy->Happy,0.002558699992438,4.9377907616897385,0.071042944785276
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Happy->Neutral,0.0050668667004734,10.866265013251397,0.068131746031746
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Happy->Sad,0.0056764837915707,11.92837927331225,0.08534640039447727
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Neutral->Disgust,0.0036349393175136996,6.413673787851339,0.08279984423676008
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Neutral->Fear,0.0032913188073072,5.889186892403549,0.06704848484848483
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Neutral->Happy,0.0037655593070666,7.044079558683421,0.07152692569870481
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Neutral->Neutral,0.0025555595388312997,4.897679427890158,0.06856825396825392
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Neutral->Sad,0.0038443736648156,7.1484610306755965,0.08502588757396445
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Sad->Disgust,0.0040613296065461005,6.957316670108502,0.08213785046728968
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Sad->Fear,0.0042789901898468005,7.220788700639642,0.06601969696969692
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Sad->Happy,0.0045750786002219,7.912703443036636,0.07106680299931831
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Sad->Neutral,0.0043834721199042005,8.200674390291576,0.06775873015873012
SEEDV_Q1_SAFE_SESSION1_16sub.npz->SEEDV_Q1_SAFE_SESSION3_16sub.npz,Sad->Sad,0.0046951474190876,8.80189353748143,0.08454265285996052
