test_emotion,samples,EER,AUC,threshold
0,13696,0.31203514408099686,0.7510064552794254,-12.567573547363281
1,14688,0.3113153594771242,0.7600756663621483,-12.531532287597656
2,19792,0.3267532336297494,0.7393663975324511,-12.666828155517578
3,15888,0.32150469956361194,0.7488421870652895,-12.541775703430176
4,12480,0.31379807692307693,0.7527395289728523,-12.658537864685059
