,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.07828076323987539,0.06931060606060606,0.08468934911242604,0.06855555555555555,0.07075664621676891
Fear,0.07850467289719626,0.06925757575757575,0.08409763313609467,0.06903174603174603,0.07005794137695978
Sad,0.07883566978193146,0.06756060606060606,0.08476947731755424,0.0682063492063492,0.07022835719154738
Neutral,0.07852414330218069,0.06711363636363636,0.08410996055226824,0.06907142857142858,0.07145535105657805
Happy,0.07678154205607476,0.06795454545454545,0.08505917159763314,0.06918253968253968,0.07042433537832311
