,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.9752705150911561,0.9767617996728651,0.9702418071235324,0.9774123974867723,0.9755862797365141
Fear,0.9754950410175015,0.9769576825068872,0.970509781114052,0.9775888959750567,0.9758131822731309
Sad,0.9755883421575666,0.9770827186639119,0.9705813587128573,0.9777170828609222,0.9759316091757241
Neutral,0.9755028534890693,0.9768495717114325,0.9704308259852086,0.9775242951625094,0.9756963443063345
Happy,0.9753340874703395,0.9766964712465566,0.9702521009605356,0.9773518414588057,0.9755567771520485
