drift_group,samples,standard_EER,standard_AUC,drift_normalized_EER,drift_normalized_AUC
Low drift,341504,0.006668540729635183,0.9994190805763722,0.00690592203898051,0.9994149854537686
Medium drift,256128,0.03432033983008496,0.9891320416388923,0.034470264867566214,0.9890448732301348
High drift,85376,0.31053223388305845,0.8075518731919646,0.3232383808095952,0.8119945614243103
