enroll_emotion,Disgust,Fear,Sad,Neutral,Happy
Disgust,0.11638778820633888,0.12158115953207016,0.11121353879570961,0.10570450872182846,0.13569630309939384
Fear,0.11555272713303566,0.12062891945242882,0.11026706546545029,0.10495971888303757,0.1344219259917736
Sad,0.11527883633971214,0.12058413773775101,0.11006398126482964,0.10459402203559875,0.1343030110001564
Neutral,0.115719523280859,0.12076476588845253,0.11052181199193001,0.10504269227385521,0.13477884232997894
Happy,0.11560768261551857,0.12082978338003159,0.11043467000126839,0.10514616966247559,0.13497202098369598
