alpha,EER,AUC
0.0,0.07459239130434783,0.9749479853467486
0.25,0.07472513743128435,0.9748814160440219
0.5,0.07488287106446777,0.9746932587039677
1.0,0.07464548975512243,0.9743007919670634
1.5,0.07487506246876562,0.9739581035643804
2.0,0.07481259370314843,0.9736613326421614
3.0,0.07512962268865567,0.9731518287419436
