comparison,probe_session,EER,AUC,threshold,adaptive_balanced_error,n_scores
S1 split → S1 heldout,1,0.13797685185185188,0.9325186696244856,0.33518892526626587,0.019075520833333335,115200
S1 enrollment → S2 verification,2,0.18182175925925925,0.8980308564814814,0.276326447725296,0.023472222222222224,230400
S1 enrollment → S3 verification,3,0.25075462962962963,0.8192634526105966,0.20774319767951965,0.025970052083333334,230400
