n,mean_x,bp,improve,p,ci_lo,ci_hi,file,drift,mode,bp_gap
375,0.1794022153732173,0.12420808539362775,5.608090306879044,0.00019998000199980003,0.11563501816116649,0.1908281784104745,outputs/run_02_q1_validation/tables/cross_emotion_results_all_seeds.csv,mean_drift,raw,0.00020808539362775214
15,0.17596383325241424,0.12375864736988379,27.20172731466002,0.7207279272072793,0.11006414459671005,0.23443028785414607,outputs/run_02_q1_validation/tables/main_multiseed_results_live.csv,transition_drift,raw,0.00024135263011620944
15,0.17596383325241424,0.12375864736988379,27.20172731466002,0.7247275272472753,0.11076187855074716,0.2346426575302572,outputs/run_02_q1_validation/tables/main_multiseed_results.csv,transition_drift,raw,0.00024135263011620944
15,0.12411376424133776,0.12179406984251431,7.0221311018246135,0.8788121187881212,0.12133915401395344,0.12915022551887115,outputs/run_02_q1_validation/tables/final_worst_cross_emotion_conditions.csv,mean_drift,raw,0.002205930157485686
25,0.11740222424268719,0.11006466968584865,59.981423500229624,0.00039996000399960006,0.1087136668926578,0.11097375214636575,outputs/run_01_baseline/tables/drift_vs_eer_validation_table.csv,drift_index,raw,0.013935330314151353
25,0.1794022153732172,0.17232022659073049,13.161932965261213,0.22717728227177283,0.16751862846198487,0.18536426374921572,outputs/run_02_q1_validation/tables/cross_emotion_results_all_seeds.csv,mean_drift,seed-collapsed(n=25),0.048320226590730486
