effect,dEER,ci_lo,ci_hi,wilcoxon_p,n
state,0.04736745213590647,0.03491786733248519,0.060854768753794225,3.0517578125e-05,16
time,0.07679106107462291,0.031387980668166456,0.1430644108468573,0.001007080078125,16
both,0.0999213355663008,0.05521870118660444,0.16461667699775642,9.1552734375e-05,16
