subject,session_changed,emotion_changed,EER
7,0,1,0.256
8,0,1,0.09291666666666665
9,0,1,0.056140350877193004
10,0,1,0.35875
11,0,1,0.1793859649122807
12,0,1,0.10253164556962027
13,0,1,0.333816425120773
14,0,1,0.031182795698924716
15,0,1,0.1761261261261261
16,0,1,0.27625570776255703
1,0,0,0.13299663299663297
2,0,0,0.15017921146953406
3,0,0,0.10641025641025639
4,0,0,0.05000000000000003
5,0,0,0.1568181818181818
6,0,0,0.2921348314606742
7,0,0,0.06521739130434781
8,0,0,0.11839080459770113
9,0,0,0.030769230769230764
10,0,0,0.15730337078651688
11,0,0,0.15254901960784314
12,0,0,0.0003401360544217687
13,0,0,0.28608058608058606
14,0,0,0.06444444444444444
15,0,0,0.26838487972508596
16,0,0,0.07500000000000001
1,0,1,0.2111111111111111
2,0,1,0.18713910761154856
3,0,1,0.18784722222222222
4,0,1,0.10921409214092138
5,0,1,0.14678362573099416
6,0,1,0.22636363636363638
7,0,1,0.17948717948717952
8,0,1,0.11277258566978193
9,0,1,0.08643067846607672
10,0,1,0.20978593272171253
11,0,1,0.1286549707602339
12,0,1,0.240251572327044
13,0,1,0.2818713450292397
14,0,1,0.047058823529411785
15,0,1,0.24347826086956526
16,0,1,0.3080459770114942
1,0,1,0.1536231884057971
2,0,1,0.1839080459770115
3,0,1,0.2818181818181818
4,0,1,0.1375
5,0,1,0.09962962962962962
6,0,1,0.3351063829787234
7,0,1,0.10456140350877192
8,0,1,0.1645390070921986
9,0,1,0.08160919540229886
10,0,1,0.21098901098901102
11,0,1,0.2216117216117216
12,0,1,0.04865900383141765
13,0,1,0.3377551020408164
14,0,1,0.08509803921568629
15,0,1,0.3670138888888889
16,0,1,0.24505494505494507
1,0,1,0.13153153153153152
2,0,1,0.17387387387387387
3,0,1,0.14121863799283152
4,0,1,0.17647058823529416
5,0,1,0.1068273092369478
6,0,1,0.19431818181818183
7,0,1,0.11058823529411763
8,0,1,0.19076305220883533
9,0,1,0.15357142857142858
10,0,1,0.14756097560975612
11,0,1,0.18705882352941178
12,0,1,0.006995884773662579
13,0,1,0.28312236286919834
14,0,1,0.009722222222222203
15,0,1,0.2704761904761905
16,0,1,0.10940170940170939
1,1,1,0.1984375
2,1,1,0.11685393258426965
3,1,1,0.1758377425044092
4,1,1,0.11541218637992831
5,1,1,0.34418604651162793
6,1,1,0.14131944444444444
7,1,1,0.7189300411522634
8,1,1,0.08941176470588236
9,1,1,0.11589147286821705
10,1,1,0.3831481481481481
11,1,1,0.28782435129740525
12,1,1,0.02111692844677139
13,1,1,0.28800000000000003
14,1,1,0.06288659793814433
15,1,1,0.24144144144144142
16,1,1,0.2694444444444445
1,1,0,0.19003831417624523
2,1,0,0.1621212121212121
3,1,0,0.2090717299578059
4,1,0,0.04848484848484848
5,1,0,0.14471057884231536
6,1,0,0.1831223628691983
7,1,0,0.7167755991285403
8,1,0,0.08784067085953878
9,1,0,0.10460526315789473
10,1,0,0.21250000000000002
11,1,0,0.21153846153846154
12,1,0,0.006410256410256399
13,1,0,0.29417670682730923
14,1,0,0.06494623655913981
15,1,0,0.2601577909270217
16,1,0,0.24141414141414141
1,1,1,0.20353982300884954
2,1,1,0.10849420849420849
3,1,1,0.17560975609756097
4,1,1,0.09969278033794163
5,1,1,0.19827586206896552
6,1,1,0.16936170212765958
7,1,1,0.6535667963683528
8,1,1,0.11168658698539177
9,1,1,0.1375
10,1,1,0.28595744680851065
11,1,1,0.30368852459016393
12,1,1,0.018702865761689315
13,1,1,0.33262108262108264
14,1,1,0.04206008583690986
15,1,1,0.2950226244343891
16,1,1,0.21764705882352942
1,1,1,0.1777777777777778
2,1,1,0.1254799301919721
3,1,1,0.3409803921568627
4,1,1,0.16500000000000004
5,1,1,0.14336734693877554
6,1,1,0.28840579710144926
7,1,1,0.6218905472636815
8,1,1,0.1250841750841751
9,1,1,0.13567567567567565
10,1,1,0.3239482200647249
11,1,1,0.25134281200631914
12,1,1,0.026897689768976912
13,1,1,0.39596491228070174
14,1,1,0.055612244897959184
15,1,1,0.40225442834138486
16,1,1,0.35986394557823126
1,1,1,0.21848484848484845
2,1,1,0.10875706214689268
3,1,1,0.18686131386861315
4,1,1,0.12702020202020203
5,1,1,0.13684210526315788
6,1,1,0.1513994910941476
7,1,1,0.7485564304461942
8,1,1,0.10655737704918034
9,1,1,0.18713910761154856
10,1,1,0.41381381381381377
11,1,1,0.3270491803278689
12,1,1,0.011538461538461511
13,1,1,0.3214814814814815
14,1,1,0.051092896174863414
15,1,1,0.28954802259887
16,1,1,0.21652892561983467
1,1,1,0.23597122302158272
2,1,1,0.3267676767676768
3,1,1,0.20451127819548875
4,1,1,0.10258397932816535
5,1,1,0.21070559610705594
6,1,1,0.16382978723404257
7,1,1,0.5787114845938375
8,1,1,0.1802919708029197
9,1,1,0.059753086419753076
10,1,1,0.532051282051282
11,1,1,0.25368956743002546
12,1,1,0.030147058823529416
13,1,1,0.27361111111111114
14,1,1,0.13984375
15,1,1,0.2371794871794872
16,1,1,0.11310541310541314
1,1,0,0.23264604810996561
2,1,0,0.40563847429519073
3,1,0,0.2702791461412151
4,1,0,0.12451923076923077
5,1,0,0.159190031152648
6,1,0,0.16062091503267972
7,1,0,0.611952861952862
8,1,0,0.12924528301886795
9,1,0,0.06939393939393942
10,1,0,0.23781094527363184
11,1,0,0.2088888888888889
12,1,0,0.007952622673434872
13,1,0,0.29273927392739274
14,1,0,0.15524256651017215
15,1,0,0.25155993431855506
16,1,0,0.2180623973727422
1,1,1,0.26443569553805774
2,1,1,0.2170013386880857
3,1,1,0.3846045197740113
4,1,1,0.14173669467787117
5,1,1,0.11758087201125175
6,1,1,0.15677966101694918
7,1,1,0.5449754901960784
8,1,1,0.1291327913279133
9,1,1,0.15020746887966807
10,1,1,0.41532258064516125
11,1,1,0.25997425997426
12,1,1,0.016260162601626008
13,1,1,0.3237516869095816
14,1,1,0.24242424242424243
15,1,1,0.298804780876494
16,1,1,0.18142292490118575
1,1,1,0.29161676646706586
2,1,1,0.1613095238095238
3,1,1,0.3854545454545455
4,1,1,0.18863636363636363
5,1,1,0.11773879142300195
6,1,1,0.15042194092827005
7,1,1,0.5429166666666667
8,1,1,0.1484848484848485
9,1,1,0.13096646942800788
10,1,1,0.45740740740740743
11,1,1,0.26315789473684215
12,1,1,0.012650602409638573
13,1,1,0.41676300578034686
14,1,1,0.21431492842535788
15,1,1,0.37260536398467436
16,1,1,0.35481927710843375
1,1,1,0.22214611872146117
2,1,1,0.3328888888888889
3,1,1,0.1525562372188139
4,1,1,0.074496644295302
5,1,1,0.1054373522458629
6,1,1,0.19751552795031058
7,1,1,0.6874172185430463
8,1,1,0.14569536423841056
9,1,1,0.1328395061728395
10,1,1,0.41635220125786165
11,1,1,0.3103603603603604
12,1,1,0.022795698924731163
13,1,1,0.2740506329113924
14,1,1,0.16923076923076924
15,1,1,0.20680751173708917
16,1,1,0.11677018633540373
1,0,1,0.25
2,0,1,0.20666666666666667
3,0,1,0.2244131455399061
4,0,1,0.11314553990610327
5,0,1,0.2609649122807018
6,0,1,0.2542857142857143
7,0,1,0.2444444444444444
8,0,1,0.13
9,0,1,0.050438596491228095
10,0,1,0.30041666666666667
11,0,1,0.15701754385964917
12,0,1,0.089873417721519
13,0,1,0.36280193236714975
14,0,1,0.05053763440860213
15,0,1,0.14324324324324322
16,0,1,0.1493150684931507
1,0,1,0.19023569023569026
2,0,1,0.23870967741935484
3,0,1,0.2391025641025641
4,0,1,0.12182539682539684
5,0,1,0.21590909090909094
