session_changed,emotion_changed,mean,std,count
0,0,0.16709368918623912,0.014698668624559616,5
0,1,0.21073129274737354,0.016968201298848833,20
1,0,0.24124990204372526,0.020755127593664345,10
1,1,0.26751894184947195,0.02257906332067166,40
