subject,emotion_decoding_acc,chance,above_chance
1,0.4385,0.2,1
2,0.4427,0.2,1
3,0.4101,0.2,1
4,0.3689,0.2,1
5,0.3151,0.2,1
6,0.2408,0.2,1
7,0.2951,0.2,1
8,0.3950,0.2,1
9,0.5245,0.2,1
10,0.1939,0.2,0
11,0.4038,0.2,1
12,0.2101,0.2,1
13,0.3932,0.2,1
14,0.1940,0.2,0
15,0.3426,0.2,1
16,0.3497,0.2,1

mean,0.3449
sd,0.0972
min,0.1939
max,0.5245
n_subjects,16
n_above_chance,14
one_sample_t,5.9622
one_sample_p,2.605e-05
wilcoxon_W,3.0000
wilcoxon_p,1.526e-04
cohens_d,1.4906
permutation_p,1
