transition,eer
Happy→Sad,0.08534640039447727
Neutral→Sad,0.08502588757396445
Fear→Sad,0.08500862919132146
Disgust→Sad,0.0849445266272189
Sad→Sad,0.08454265285996052
Neutral→Disgust,0.08279984423676008
Disgust→Disgust,0.08220989096573202
Fear→Disgust,0.08217484423676008
Happy→Disgust,0.08216316199376944
Sad→Disgust,0.08213785046728968
