enroll_emotion,Disgust,Fear,Happy,Neutral,Sad
Disgust,0.11581336911767719,0.11525256056338543,0.12438708171248432,0.10981132667511698,0.11534001585096117
Fear,0.11933689359575508,0.11668486054986713,0.12701357174664732,0.1114202624186873,0.11777880452573294
Happy,0.11865405328571792,0.11647058818489311,0.12462116666138168,0.11090950388461349,0.11749158371239896
Neutral,0.11697567570954556,0.11527048088610167,0.12514036986976856,0.1064067013561725,0.11444804407656191
Sad,0.11549989674240346,0.11367184445261953,0.12335520908236497,0.10720434132963415,0.11282687988132234
