enroll_emotion,Disgust,Fear,Happy,Neutral,Sad
Disgust,0.08220989096573202,0.06708030303030298,0.0698841172460804,0.06789999999999996,0.0849445266272189
Fear,0.08217484423676008,0.06632121212121209,0.07092706203135649,0.0678619047619047,0.08500862919132146
Happy,0.08216316199376944,0.06720909090909086,0.071042944785276,0.068131746031746,0.08534640039447727
Neutral,0.08279984423676008,0.06704848484848483,0.07152692569870481,0.06856825396825392,0.08502588757396445
Sad,0.08213785046728968,0.06601969696969692,0.07106680299931831,0.06775873015873012,0.08454265285996052
