session,subject,balanced_error_global,balanced_error_subject
1,1,0.19407407407407407,0.19303703703703703
1,2,0.24414814814814817,0.2485925925925926
1,3,0.12622222222222224,0.1402962962962963
1,4,0.13925925925925925,0.1285925925925926
1,5,0.1282962962962963,0.09837037037037037
1,6,0.1197037037037037,0.12948148148148148
1,7,0.047703703703703706,0.04429629629629629
1,8,0.12755555555555556,0.132
1,9,0.13096296296296298,0.1122962962962963
1,10,0.21392592592592594,0.2128888888888889
1,11,0.11807407407407408,0.10800000000000001
1,12,0.03451851851851852,0.003703703703703704
1,13,0.2740740740740741,0.27614814814814814
1,14,0.05570370370370371,0.05096296296296296
1,15,0.17777777777777776,0.1728888888888889
1,16,0.0717037037037037,0.07925925925925925
2,1,0.2111851851851852,0.20940740740740743
2,2,0.2308148148148148,0.23185185185185186
2,3,0.12792592592592592,0.11792592592592593
2,4,0.2457037037037037,0.23592592592592593
2,5,0.208,0.19933333333333333
2,6,0.2208148148148148,0.2214814814814815
2,7,0.0877037037037037,0.08192592592592593
2,8,0.10392592592592594,0.11644444444444443
2,9,0.1602962962962963,0.1645925925925926
2,10,0.24207407407407405,0.2314074074074074
2,11,0.17674074074074075,0.17814814814814817
2,12,0.036444444444444446,0.0022962962962962963
2,13,0.33666666666666667,0.33592592592592596
2,14,0.05859259259259259,0.0045925925925925926
2,15,0.2117777777777778,0.18888888888888888
2,16,0.23199999999999998,0.17614814814814816
3,1,0.35037037037037033,0.3605925925925926
3,2,0.39414814814814814,0.4046666666666667
3,3,0.23022222222222222,0.2485925925925926
3,4,0.24918518518518518,0.24807407407407409
3,5,0.22066666666666668,0.24237037037037035
3,6,0.331037037037037,0.34977777777777774
3,7,0.5691851851851852,0.6377037037037037
3,8,0.12637037037037036,0.12851851851851853
3,9,0.14925925925925926,0.09459259259259259
3,10,0.30214814814814817,0.30162962962962964
3,11,0.15274074074074076,0.11162962962962963
3,12,0.09177777777777778,0.09948148148148148
3,13,0.39081481481481484,0.39155555555555555
3,14,0.084,0.032074074074074074
3,15,0.2265925925925926,0.23103703703703704
3,16,0.1162962962962963,0.12407407407407409
