experiment,EER_within,EER_cross,dEER
ex01_resting_eyes_open,0.1878432494279176,0.23661094817747086,0.04876769874955325
ex02_resting_eyes_closed,0.22377002288329523,0.24348541189931353,0.019715389016018298
resting->auditory(cross-condition),,0.3213214765794644,
