experiment,subject,EER_within,EER_cross,dEER
ex01_resting_eyes_open,1,0.11727688787185357,0.26613858617092145,0.14886169829906787
ex01_resting_eyes_open,2,0.34096109839816935,0.16232543962190626,-0.17863565877626308
ex01_resting_eyes_open,3,0.11212814645308927,0.13026509295222294,0.018136946499133666
ex01_resting_eyes_open,4,0.08180778032036616,0.1219393013813995,0.040131521061033334
ex01_resting_eyes_open,5,0.08352402745995427,0.08166864637932553,-0.001855381080628743
ex01_resting_eyes_open,6,0.13501144164759726,0.20143969103912918,0.06642824939153191
ex01_resting_eyes_open,7,0.2517162471395881,0.3233789924205287,0.07166274528094058
ex01_resting_eyes_open,8,0.045766590389016,0.18519269203212793,0.13942610164311192
ex01_resting_eyes_open,9,0.06407322654462241,0.26758409065198535,0.20351086410736294
ex01_resting_eyes_open,10,0.12814645308924488,0.37425917895345473,0.24611272586420985
ex01_resting_eyes_open,11,0.20823798627002288,0.1966985934612919,-0.01153939280873098
ex01_resting_eyes_open,12,0.17334096109839817,0.18490359113591515,0.01156263003751698
ex01_resting_eyes_open,13,0.13272311212814647,0.1782833377326948,0.04556022560454834
ex01_resting_eyes_open,14,0.25915331807780323,0.35428293550536094,0.09512961742755771
ex01_resting_eyes_open,15,0.09210526315789477,0.273192490918461,0.1810872277605662
ex01_resting_eyes_open,16,0.23855835240274598,0.23853023618286257,-2.811621988341173e-05
ex01_resting_eyes_open,17,0.23569794050343246,0.18403628844727682,-0.05166165205615564
ex01_resting_eyes_open,18,0.19050343249427917,0.18088524579860982,-0.009618186695669356
ex01_resting_eyes_open,19,0.0680778032036613,0.19742753634692378,0.12934973314326248
ex01_resting_eyes_open,20,0.17276887871853547,0.2070606178184654,0.03429173909992994
ex02_resting_eyes_closed,1,0.17734553775743706,0.23870137299771166,0.0613558352402746
ex02_resting_eyes_closed,2,0.20022883295194507,0.2930491990846682,0.09282036613272313
ex02_resting_eyes_closed,3,0.12700228832951946,0.1134153318077803,-0.013586956521739163
ex02_resting_eyes_closed,4,0.0205949656750572,0.07751716247139588,0.056922196796338684
ex02_resting_eyes_closed,5,0.06121281464530891,0.07022311212814644,0.009010297482837534
ex02_resting_eyes_closed,6,0.19336384439359267,0.21467391304347827,0.021310068649885605
ex02_resting_eyes_closed,7,0.3083524027459954,0.29262013729977115,-0.015732265446224247
ex02_resting_eyes_closed,8,0.437070938215103,0.41890732265446223,-0.018163615560640778
ex02_resting_eyes_closed,9,0.0669336384439359,0.18921624713958807,0.12228260869565216
ex02_resting_eyes_closed,10,0.0440503432494279,0.10912471395881009,0.06507437070938218
ex02_resting_eyes_closed,11,0.17906178489702518,0.10454805491990848,-0.0745137299771167
ex02_resting_eyes_closed,12,0.15732265446224258,0.16261441647597252,0.005291762013729939
ex02_resting_eyes_closed,13,0.24199084668192217,0.24914187643020597,0.007151029748283799
ex02_resting_eyes_closed,14,0.30205949656750575,0.35912471395881007,0.057065217391304324
ex02_resting_eyes_closed,15,0.3295194508009153,0.3536899313501144,0.02417048054919907
ex02_resting_eyes_closed,16,0.21910755148741418,0.20108695652173914,-0.01802059496567504
ex02_resting_eyes_closed,17,0.21967963386727687,0.23970251716247137,0.0200228832951945
ex02_resting_eyes_closed,18,0.2700228832951945,0.2827517162471396,0.012728832951945046
ex02_resting_eyes_closed,19,0.08524027459954236,0.15532036613272313,0.07008009153318076
ex02_resting_eyes_closed,20,0.15045766590389015,0.20308924485125857,0.05263157894736842
