subject,theta_drift_4ch,theta_drift_T7,cross_EER
1,0.022294355080900816,0.02664501226061712,0.2530426298125872
2,0.016370053384098752,0.012105309561340379,0.15327689581055093
3,0.007115045188465563,0.00038340515659555235,0.12480124313385371
4,0.00951446270324674,0.011404209337500935,0.1261021971668112
5,0.010976315012553445,0.0032509621991978384,0.07175279987933178
6,0.004236289664771428,0.009511294870880312,0.2129455924682932
7,0.004390341888210969,0.003567181820550974,0.3203434330102945
8,0.008465747072477828,0.002304984960178641,0.18475904068780877
9,0.014652492336766876,0.01037843261703687,0.2652712834822831
10,0.014017187529332106,0.016318517458706123,0.31531323453624444
11,0.058372350248923205,0.04608687187504509,0.19655404301318552
12,0.0002555375020402488,6.134581781225279e-05,0.18030704400618425
13,0.0008561537025620369,0.0031732608059309823,0.1828798848624257
14,0.007750807186865764,0.006350603955544773,0.3584458312907727
15,0.010682981885506508,0.00783343930885641,0.2924459821260228
16,0.002811821987407988,0.000314069247985532,0.23121629774878388
17,0.00018545385852002775,0.0004544741560770806,0.16836749123270106
18,0.0006323378296972651,0.0005943539957946132,0.18059614490239703
19,0.011702497380941273,0.004888247930152433,0.2010415905966325
20,0.0001448578737872839,6.268633948938078e-06,0.20256009342958015
