subject,theta_drift,cross_EER
1,0.008475,0.1969
2,0.009628,0.2537
3,0.005858,0.2651
4,0.008745,0.1133
5,0.010657,0.1793
6,0.031973,0.1812
7,0.086139,0.6439
8,0.014075,0.1511
9,0.016304,0.1133
10,0.00737,0.3682
11,0.007988,0.2496
12,0.017169,0.0323
13,0.006573,0.3441
14,0.012349,0.1266
15,0.007318,0.2698
16,0.008878,0.1372
