epoch,train_loss,train_acc,test_loss,test_acc,seconds
1,2.0441800514465482,0.9334135691894313,1.9778965724104347,0.8389945652173914,5.65
2,1.2752116874787929,0.9991463278101209,1.5300022760431269,0.8584145427286357,5.24
3,0.763733026803047,0.9998040752351097,1.1817832965364699,0.8606399925037481,6.04
4,0.46229847280689806,0.9999720107478728,0.9854782308595649,0.8658873688155923,5.86
5,0.29617967203332873,0.9999860053739364,0.8215326275871969,0.8834332833583208,6.09
6,0.20038194814926297,0.9999860053739364,0.822688198808966,0.8600777736131934,5.65
7,0.14276846114210734,1.0,0.7040630836134729,0.8709239130434783,6.25
8,0.10586666659127957,1.0,0.6776579082056857,0.8697760494752623,6.02
9,0.08058930986860756,1.0,0.6041965412235689,0.8721889055472264,5.76
10,0.06302901544761241,1.0,0.5907635800819704,0.8716032608695652,5.64
11,0.05028272995727776,1.0,0.5585681535917958,0.8858695652173914,5.62
12,0.040778865169381756,1.0,0.6099774712051588,0.8714158545727136,5.91
13,0.03978624815964613,0.9995241827138379,0.5599935941476336,0.8806221889055472,5.83
14,0.02771813939277548,1.0,0.5327819459855199,0.89523988005997,5.94
15,0.02270611531054872,1.0,0.5680397423668423,0.8782327586206896,5.89
16,0.018999614568900165,1.0,0.5635910174143368,0.8843234632683659,5.73
17,0.01604885360133445,1.0,0.5106796951324999,0.8907421289355323,5.59
18,0.013609578449277402,1.0,0.5451881526040844,0.8860803973013494,5.89
19,0.011591488296525579,1.0,0.5338029128372267,0.8689795727136432,5.82
20,0.010351429936136972,1.0,0.5129207973933961,0.892827023988006,5.7
