subject,theta_drift,cross_EER
1,0.0013123583027456324,0.19687037037037036
2,0.0018504135183691056,0.2537037037037037
3,0.0006122768049206603,0.26511111111111113
4,0.000942800699857387,0.11325925925925925
5,0.001657527363267939,0.17931481481481482
6,0.0083784187445679,0.18122222222222223
7,0.024112871747495747,0.6439444444444444
8,0.0044146094255773935,0.15107407407407406
9,0.002213563431167791,0.1132962962962963
10,0.0009345437567313425,0.3682037037037037
11,0.0011925099169737402,0.2495740740740741
12,0.0032294312492888487,0.03231481481481481
13,0.0008378932531212515,0.34411111111111115
14,0.001948858914267662,0.12659259259259262
15,0.0013592984168432128,0.2697962962962963
16,0.001313142213103177,0.13720370370370372
