session,best_fraction,EER_baseline,EER_adapted,rel_reduction_pct,wilcoxon_W,p_value,n
2,0.2,0.2164,0.1969,9.02,17.0,0.0063,16
3,0.2,0.2369,0.2111,10.87,3.0,0.0002,16
