session,best_fraction,EER_baseline,EER_adapted,rel_reduction_pct,wilcoxon_W,p_value,n
2,0.2,0.2163,0.1968,9.04,16.0,0.0052,16
3,0.2,0.2371,0.2112,10.92,3.0,0.0002,16
