enroll_session,test_session,enroll_emotion,test_emotion,transition,region,theta_power_drift,alpha_power_drift,beta_power_drift,gamma_power_drift,total_psd_drift,variant,seed,EER,AUC
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Parietal,0.00031132902950048447,0.0008148757624439895,0.00018177987658418715,6.227438279893249e-05,0.0013702590513275936,arcface_supcon_cnn,1,0.0851440809968847,0.955444374321038
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Parietal,0.00031132902950048447,0.0008148757624439895,0.00018177987658418715,6.227438279893249e-05,0.0013702590513275936,arcface_supcon_cnn,2,0.0792737538940809,0.96697382524197
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Parietal,0.00031132902950048447,0.0008148757624439895,0.00018177987658418715,6.227438279893249e-05,0.0013702590513275936,arcface_supcon_cnn,3,0.0867503894080996,0.948615301077059
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Parietal,0.00031132902950048447,0.0008148757624439895,0.00018177987658418715,6.227438279893249e-05,0.0013702590513275936,arcface_supcon_cnn,4,0.0752725856697819,0.977609303663484
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Occipital,0.001613949580738943,0.0010788566432893276,0.00015650546023001245,0.0002032086097945771,0.00305252029405286,arcface_supcon_cnn,0,0.084608644859813,0.9462837584637124
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Occipital,0.001613949580738943,0.0010788566432893276,0.00015650546023001245,0.0002032086097945771,0.00305252029405286,arcface_supcon_cnn,1,0.0851440809968847,0.955444374321038
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Occipital,0.001613949580738943,0.0010788566432893276,0.00015650546023001245,0.0002032086097945771,0.00305252029405286,arcface_supcon_cnn,2,0.0792737538940809,0.96697382524197
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Occipital,0.001613949580738943,0.0010788566432893276,0.00015650546023001245,0.0002032086097945771,0.00305252029405286,arcface_supcon_cnn,3,0.0867503894080996,0.948615301077059
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Disgust,Disgust->Disgust,Occipital,0.001613949580738943,0.0010788566432893276,0.00015650546023001245,0.0002032086097945771,0.00305252029405286,arcface_supcon_cnn,4,0.0752725856697819,0.977609303663484
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Frontal,0.0006601703131482693,0.0005696218992982584,0.00045187216961667647,0.00023713398591748312,0.0019187983679806874,arcface_supcon_cnn,0,0.0686363636363636,0.96038935821281
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Fear,Disgust->Fear,Frontal,0.0006601703131482693,0.0005696218992982584,0.00045187216961667647,0.00023713398591748312,0.0019187983679806874,arcface_supcon_cnn,1,0.0708863636363636,0.9670181856921488
