enroll_session,test_session,enroll_emotion,test_emotion,transition,theta_power_drift,alpha_power_drift,beta_power_drift,gamma_power_drift,total_psd_drift,variant,seed,EER,AUC
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Neutral,Disgust->Neutral,0.0008778854373044199,0.0015397402906923423,0.0009992599282191979,0.0013530594648771166,0.004769945121093076,arcface_supcon_cnn,2,0.0652857142857142,0.9822689054232804
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Neutral,Disgust->Neutral,0.0008778854373044199,0.0015397402906923423,0.0009992599282191979,0.0013530594648771166,0.004769945121093076,arcface_supcon_cnn,3,0.0742301587301587,0.961393122165533
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Neutral,Disgust->Neutral,0.0008778854373044199,0.0015397402906923423,0.0009992599282191979,0.0013530594648771166,0.004769945121093076,arcface_supcon_cnn,4,0.0595873015873015,0.9900805763416476
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Sad,Disgust->Sad,0.000651521588276539,0.0017117019886860538,0.0004728797410193478,0.0010076908418947522,0.003843794159876693,arcface_supcon_cnn,0,0.0859714003944773,0.9399715831174212
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Sad,Disgust->Sad,0.000651521588276539,0.0017117019886860538,0.0004728797410193478,0.0010076908418947522,0.003843794159876693,arcface_supcon_cnn,1,0.0870747041420118,0.9491268252121008
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Sad,Disgust->Sad,0.000651521588276539,0.0017117019886860538,0.0004728797410193478,0.0010076908418947522,0.003843794159876693,arcface_supcon_cnn,2,0.0845599112426035,0.9590310530075248
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Sad,Disgust->Sad,0.000651521588276539,0.0017117019886860538,0.0004728797410193478,0.0010076908418947522,0.003843794159876693,arcface_supcon_cnn,3,0.0901503944773175,0.9432822881881836
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Disgust,Sad,Disgust->Sad,0.000651521588276539,0.0017117019886860538,0.0004728797410193478,0.0010076908418947522,0.003843794159876693,arcface_supcon_cnn,4,0.0769662228796844,0.9711368703124816
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Disgust,Fear->Disgust,0.0011095031885252813,0.0017245367258077575,0.0004386303662267022,0.0004037061147668974,0.003676376395326639,arcface_supcon_cnn,0,0.0854264018691588,0.9471349368724434
SEEDV_Q1_SAFE_SESSION1_16sub.npz,SEEDV_Q1_SAFE_SESSION2_16sub.npz,Fear,Disgust,Fear->Disgust,0.0011095031885252813,0.0017245367258077575,0.0004386303662267022,0.0004037061147668974,0.003676376395326639,arcface_supcon_cnn,1,0.08538746105919,0.9564854787399556
