session_file,session_index,emotion_id,emotion,region,theta_power,alpha_power,beta_power,gamma_power
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,Central/Motor,0.018958267888852527,0.014633549111230033,0.007135560935629266,0.004278375052048692
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,Frontal,0.019341774595280487,0.01009127220493697,0.005668481279696737,0.0034637742875409977
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,Occipital,0.018469783011823893,0.009698186612998446,0.005352674905831615,0.0035903898533433676
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,Parietal,0.01942144543863833,0.012883058923762292,0.005541105259908363,0.003120246881735511
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,0,Disgust,Temporal,0.013350267118463913,0.009039792387435833,0.010422784214218458,0.009009703760966659
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,Central/Motor,0.01819929081414427,0.015989816348467554,0.006781125773808786,0.003881937059174691
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,Frontal,0.01809804474136659,0.011893127867508502,0.005305095176611628,0.0032119048160633872
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,Occipital,0.017038490778456133,0.013542010681703687,0.005431765845666329,0.0038168524430754283
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,Parietal,0.017364941188134253,0.01532580575440079,0.005397848450229503,0.002982229008921422
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,1,Fear,Temporal,0.012969065612802902,0.010582173864046732,0.009466393229862055,0.007970022580896815
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,2,Sad,Central/Motor,0.019559455503310477,0.017795188884649957,0.006657247564622334,0.0031880229279132827
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,2,Sad,Frontal,0.019498569757810662,0.01144470711283031,0.005262182271551518,0.002769958937451953
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,2,Sad,Occipital,0.018874296142409246,0.01107056182809174,0.005143920153689881,0.0029045462627739957
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,2,Sad,Parietal,0.01960588537622243,0.015441575553268194,0.005470030679134652,0.0024873334914445877
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,2,Sad,Temporal,0.014565356696645418,0.010674660094082355,0.008719697517032424,0.006670923282702764
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,3,Neutral,Central/Motor,0.018743117739047323,0.016640053928962777,0.0064971477591565675,0.0033064181417492883
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,3,Neutral,Frontal,0.018591269717684815,0.010741235244841803,0.004918698166009216,0.00259982084389776
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,3,Neutral,Occipital,0.019346866756677628,0.010919958663483461,0.005096453436029454,0.0028556521768526486
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,3,Neutral,Parietal,0.019615692202933133,0.014566257130354643,0.005378958536311984,0.0025138158598565497
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,3,Neutral,Temporal,0.01380581051732103,0.009417005814611912,0.007763090465838711,0.0059698226395994425
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,4,Happy,Central/Motor,0.0185946130326816,0.015456085758549827,0.007159116944032056,0.004248041410132178
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,4,Happy,Frontal,0.019569200596639087,0.01045476904671107,0.005391177455229419,0.0031978581599625094
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,4,Happy,Occipital,0.02024065873896082,0.010638322603578368,0.0057955214676136775,0.004082993313204497
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,4,Happy,Parietal,0.02047690434847027,0.013982861302793026,0.005837979872012511,0.0033300363284070045
SEEDV_Q1_SAFE_SESSION1_16sub.npz,1,4,Happy,Temporal,0.011821439489722252,0.008391085856904587,0.010275274747982621,0.009865913617735108
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,0,Disgust,Central/Motor,0.018160382551806315,0.01510156930557319,0.0070073506129639486,0.004086378529401762
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,0,Disgust,Frontal,0.018688071119998182,0.010569451310272728,0.006359551634107318,0.004037630500360614
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,0,Disgust,Occipital,0.020083732592562836,0.010777043256287774,0.005509180366061628,0.0033871812435487905
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,0,Disgust,Parietal,0.019110116409137845,0.013697934686206281,0.00572288513649255,0.0030579724989365786
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,0,Disgust,Temporal,0.012840901346256336,0.008564252328748504,0.009976412557686368,0.00845297131066521
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,1,Fear,Central/Motor,0.01816984878054687,0.014894123588289534,0.006902848104281085,0.003814852796494961
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,1,Fear,Frontal,0.018681604282132218,0.010660894104235229,0.006120353449313413,0.003700908273458481
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,1,Fear,Occipital,0.018766531410316627,0.011569592403247952,0.005801200517453253,0.003965856623835862
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,1,Fear,Parietal,0.018071350175887346,0.013667894061654806,0.005714325496228412,0.003172645789163653
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,1,Fear,Temporal,0.013263734988868237,0.009387302833298842,0.009700017049908638,0.008204931315655509
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,2,Sad,Central/Motor,0.018872075181986605,0.016560169735125134,0.006618567476315158,0.0030824309048642006
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,2,Sad,Frontal,0.01897708069355715,0.01142933995773395,0.005756665398145006,0.003052829443255351
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,2,Sad,Occipital,0.02021142467856407,0.011986563603083292,0.005371138143042724,0.0029468379507306963
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,2,Sad,Parietal,0.01898043416440487,0.015092839545104653,0.005553161900024861,0.00255939247290371
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,2,Sad,Temporal,0.013974335510283709,0.009835456342746815,0.008694082964211702,0.006782544854407509
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,3,Neutral,Central/Motor,0.018331211592469896,0.01659825151520116,0.006435477174818516,0.0030683587870693634
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,3,Neutral,Frontal,0.01835529612643378,0.01079668847489215,0.005153278143899072,0.0028699111481685015
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,3,Neutral,Occipital,0.020213669010748465,0.0117561100050807,0.004686309956014156,0.0024414652143605053
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,3,Neutral,Parietal,0.018598525901325047,0.014963913476094604,0.00524415381369181,0.0023904290719656274
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,3,Neutral,Temporal,0.01355935400351882,0.009929597222556671,0.007605087865764896,0.005927028289685647
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,4,Happy,Central/Motor,0.01812500919082335,0.015170118372355188,0.007060382847807237,0.0040023078410221
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,4,Happy,Frontal,0.01929052821582272,0.01052707147651485,0.005899207200855017,0.003576235878946526
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,4,Happy,Occipital,0.02203133221094807,0.011746324288348356,0.005819457893570264,0.003633819539876034
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,4,Happy,Parietal,0.020258549135178328,0.014373400248587132,0.006120644480688497,0.0034116542956326157
SEEDV_Q1_SAFE_SESSION2_16sub.npz,2,4,Happy,Temporal,0.012196753329286972,0.008385211074103912,0.009479184402152896,0.008790491614490747
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,0,Disgust,Central/Motor,0.019332954926150187,0.01355875123824392,0.006233556063047477,0.0037164565375340836
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,0,Disgust,Frontal,0.01959025128079312,0.009929942676708811,0.005463876650624332,0.003405968957979764
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,0,Disgust,Occipital,0.02212403016164899,0.010723049519583583,0.004826242822067191,0.002805734877862657
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,0,Disgust,Parietal,0.02128946711309254,0.012983995315153152,0.004923136861179955,0.002558161118940916
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,0,Disgust,Temporal,0.0150953009724617,0.008138035346443454,0.00815135434580346,0.006631019602840145
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,1,Fear,Central/Motor,0.018683912631656443,0.013306456218872751,0.006298007709639413,0.0034485782297062023
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,1,Fear,Frontal,0.018432267542396272,0.009073660398523012,0.005022029713949277,0.002959138425510554
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,1,Fear,Occipital,0.018934408202767372,0.010025159378225604,0.004765308151642482,0.003097444433175648
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,1,Fear,Parietal,0.019135054666548967,0.011940761643927544,0.00474499465781264,0.002499588947102893
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,1,Fear,Temporal,0.013542941150565943,0.0076892822204778595,0.009122205277283987,0.007418860603744785
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,2,Sad,Central/Motor,0.02065084422273295,0.015094590373337269,0.005747644962476832,0.002772427912402366
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,2,Sad,Frontal,0.02006713469468412,0.010227281112401258,0.0048974847221480945,0.0027215275691733474
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,2,Sad,Occipital,0.02193642050648729,0.010928998158002893,0.004324235992195706,0.002290304624087488
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,2,Sad,Parietal,0.021631721640005708,0.014043484872672707,0.004589839649270289,0.0020123964350204915
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,2,Sad,Temporal,0.016200467633704346,0.008589513367041945,0.00704701275875171,0.005321102178034683
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,3,Neutral,Central/Motor,0.018024774135223458,0.01489787601998874,0.005915275242711816,0.0031366730275164756
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,3,Neutral,Frontal,0.017724916205874512,0.009598926774093084,0.004586975511518263,0.0026393773289219965
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,3,Neutral,Occipital,0.019774767570197582,0.010502443804095188,0.004064677302570392,0.002191633509937674
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,3,Neutral,Parietal,0.019109089043922722,0.013676539994776249,0.004414172348333523,0.002031100964813959
SEEDV_Q1_SAFE_SESSION3_16sub.npz,3,3,Neutral,Temporal,0.013927530342092117,0.008332463291784128,0.007432682594905297,0.00570580728041629
